公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
2305,全友電腦,9632,20192,14672,-52.29,-34.35,56207,74071,-24.11
2315,神達電腦,2721781,3265527,4605204,-16.65,-40.89,11225860,17219412,-34.8
2324,仁寶電腦,56404087,66417105,71296872,-15.07,-20.88,219264944,287950385,-23.85
2331,精英,6048758,6154952,3799051,-1.72,59.21,20267702,14929767,35.75
2352,佳世達,5283572,5771108,4941056,-8.44,6.93,21043593,19099957,10.17
2353,宏��,28392131,40752933,37019370,-30.33,-23.3,130561842,176866485,-26.18
2356,英業達,24198753,26606737,20642478,-9.05,17.22,101458588,101224003,0.23
2357,華碩,24927802,24248845,27925470,2.79,-10.73,83258105,102731835,-18.95
2358,美格,33989,80147,54401,-57.59,-37.52,264915,264957,-0.01
2361,鴻友科技,102748,79542,54391,29.17,88.9,305425,209778,45.59
2362,藍天,971975,964854,1067672,0.73,-8.96,3605627,3797239,-5.04
2364,倫飛電腦,89945,250578,172187,-64.1,-47.76,576154,572154,0.69
2365,昆盈企業,684026,805937,798261,-15.12,-14.31,2707693,2943559,-8.01
2376,技嘉,3682756,4648520,3409042,-20.77,8.02,16074127,17503066,-8.16
2377,微星科技,6366965,8930815,7369442,-28.7,-13.6,27161425,30238522,-10.17
2380,虹光精密,200622,331689,285847,-39.51,-29.81,988512,954166,3.59
2382,廣達,87229686,109651249,94242656,-20.44,-7.44,329724283,332124789,-0.72
2385,群光電子,1267644,1536644,1597738,-17.5,-20.66,5152990,5867095,-12.17
2387,精元電腦,159920,202163,148798,-20.89,7.47,657846,575260,14.35
2395,研華,1583591,1859995,1384395,-14.86,14.38,6039414,4476409,34.91
2397,友通資訊,122665,156512,98989,-21.62,23.91,518433,462098,12.19
2399,映泰,680541,686273,651263,-0.83,4.49,2525180,2442877,3.36
2405,浩鑫,281527,377969,150411,-25.51,87.17,1057353,687122,53.88
2417,圓剛,107136,134193,221708,-20.16,-51.67,495072,1039516,-52.37
2424,隴華電子,15942,13142,5266,21.3,202.73,72277,31147,132.05
2438,英誌企業,12703,15779,15949,-19.49,-20.35,40138,48435,-17.13
2442,新美齊,25597,36601,584590,-30.06,-95.62,110574,2294311,-95.18
2465,麗臺科技,215316,224942,440406,-4.27,-51.1,762164,1066294,-28.52
2474,可成科技,858807,771537,101747,11.31,744.06,2936165,335082,776.25
3002,歐格電子,40569,37546,70660,8.05,-42.58,143402,232577,-38.34
3005,神基科技,399820,386173,394864,3.53,1.25,1498782,1595138,-6.04
3013,晟銘電子,259644,328924,397403,-21.06,-34.66,1090110,1546015,-29.48
3017,奇鋐科技,862477,1049657,1210307,-17.83,-28.73,3480323,3842742,-9.43
3022,威達電,628131,625103,307252,0.48,104.43,2398784,1175316,104.09
3046,建��,186015,157438,168526,18.15,10.37,592654,592910,-0.04
3057,喬鼎資訊,130964,100653,110984,30.11,18.0,401180,394999,1.56
3060,銘異,405935,490934,618329,-17.31,-34.34,1705984,2307325,-26.06
3231,緯創,43045371,47748001,35942595,-9.84,19.76,161955802,166695223,-2.84
3494,誠研科技,120051,149962,159991,-19.94,-24.96,512969,524984,-2.28
3515,華擎,1105416,1013904,737348,9.02,49.91,3723954,3176033,17.25
3701,大眾投控,1858,3648,4058,-49.06,-54.21,12768,163822,-92.2
4915,致伸,3572878,3437067,2833577,3.95,26.09,11940808,10484318,13.89
4938,和碩,19751647,26328743,30517371,-24.98,-35.27,83284945,114758184,-27.42
6117,迎廣科技,277389,285196,298180,-2.73,-6.97,997494,1017474,-1.96
6128,上福全球,121455,147421,167144,-17.61,-27.33,498946,552885,-9.75
6166,凌華科技,350801,336789,284343,4.16,23.37,1249425,976564,27.94
6172,互億科技,36554,38671,40239,-5.47,-9.15,123371,252250,-51.09
6206,飛捷,302080,233777,281614,29.21,7.26,959883,852264,12.62
6230,超眾,258448,249743,271794,3.48,-4.91,896883,916111,-2.09
6235,華孚科技,10442,13421,6956,-22.19,50.11,54943,65862,-16.57
6277,宏正科,244638,292069,207969,-16.23,17.63,888467,863702,2.86
8008,建興電,4185229,3683297,3877346,13.62,7.94,14548094,14825302,-1.86
8114,振樺電子,142742,145348,162205,-1.79,-11.99,490094,576167,-14.93
8210,勤誠興業,204219,209038,170646,-2.3,19.67,718029,674117,6.51
9912,偉聯,38322,45546,45556,-15.86,-15.87,169637,164135,3.35
2323,中環,1455463,1316583,1503173,10.54,-3.17,4856061,5692035,-14.68
2340,光磊,616202,608301,644205,1.29,-4.34,2481188,2270408,9.28
2349,錸德科技,1179045,1189773,1387106,-0.9,-14.99,4302161,5114625,-15.88
2374,佳能,3355201,5113053,4799487,-34.37,-30.09,13979530,16017499,-12.72
2384,勝華科技,6842930,8383068,3584698,-18.37,90.89,28053925,10684039,162.57
2393,億光電子,1421417,1460627,1423614,-2.68,-0.15,5159134,5007782,3.02
2406,國碩科技,233646,220118,120680,6.14,93.6,736432,449389,63.87
2409,友達,31079829,34236261,39011910,-9.21,-20.33,119369787,145253744,-17.81
2426,鼎元,326743,321953,320091,1.48,2.07,1135830,1117702,1.62
2443,新利虹,42729,83777,125034,-48.99,-65.82,296606,544085,-45.48
2448,晶電,1692975,1698298,1646207,-0.31,2.84,6140590,5676313,8.17
2466,冠西電,101084,100258,103419,0.82,-2.25,378169,396867,-4.71
2475,華映,5538227,5628274,6390427,-1.59,-13.33,20384304,25281757,-19.37
2486,一詮精密,292388,303047,388486,-3.51,-24.73,1177977,1411506,-16.54
2489,瑞軒,2742045,5098206,3536327,-46.21,-22.46,16204985,17058696,-5.0
2491,吉祥全,25737,31058,23092,-17.13,11.45,102863,95690,7.49
2499,東貝光電,606376,550457,602132,10.15,0.7,2227703,1812918,22.87
3008,大立光,1174612,1172576,650305,0.17,80.62,4140085,2611784,58.51
3019,亞洲光學,423422,374912,259629,12.93,63.08,1327733,844779,57.16
3024,憶聲電子,23563,60472,67060,-61.03,-64.86,113882,247648,-54.01
3031,佰鴻工業,421444,414141,471788,1.76,-10.67,1448688,1497721,-3.27
3038,全台,350659,393873,305276,-10.97,14.86,1529858,1137908,34.44
3049,和鑫,786064,567869,451103,38.42,74.25,2026946,1659142,22.16
3050,鈺德科技,83982,105807,90483,-20.62,-7.18,381709,378354,0.88
3051,力特光電,313467,378067,546304,-17.08,-42.62,1452114,2056833,-29.4
3059,華晶科技,2166022,3065891,2375106,-29.35,-8.8,7516412,7313314,2.77
3061,璨圓光電,374350,400304,384172,-6.48,-2.55,1479841,1120051,32.12
3149,正達國際,573897,476406,139272,20.46,312.06,1794855,449771,299.05
3356,奇偶科技,109669,145324,113549,-24.53,-3.41,443337,372822,18.91
3383,新世紀,412247,391716,200528,5.24,105.58,1449895,637374,127.47
3406,玉晶光,688657,553720,116309,24.36,492.09,2005566,374657,435.3
3454,晶睿,231509,189092,144131,22.43,60.62,704970,487644,44.56
3481,群創光電,39414681,45253544,49501188,-12.9,-20.37,161055571,117255633,37.35
3504,揚明光學,319121,410126,342743,-22.18,-6.89,1488815,1445315,3.0
