Date,Open,High,Low,Close,Adj Close,Volume
2017-12-25,294.479004,294.479004,265.916992,267.394989,263.137512,10006350
2017-12-26,266.902008,267.886993,256.561005,260.993011,256.837463,11723518
2017-12-27,265.424988,268.380005,258.037994,260.007996,255.868134,6469501
2017-12-28,264.932007,272.319000,263.454987,271.334015,267.013824,7250005
2017-12-29,273.795990,277.735992,261.484985,265.424988,261.198883,7837367
2018-01-02,264.932007,278.227997,252.128998,275.765991,271.375214,13211226
2018-01-03,279.705994,280.691010,271.334015,271.334015,267.013824,6627795
2018-01-04,272.812012,276.259003,269.856995,276.259003,271.860382,3432801
2018-01-05,278.721008,278.721008,269.364014,270.348999,266.044495,3480448
2018-01-08,261.977997,280.691010,258.531006,280.691010,276.221832,7660886
2018-01-09,290.539001,291.523987,279.705994,279.705994,275.252502,10803438
2018-01-10,277.735992,283.153015,275.765991,275.765991,271.375214,3150140
2018-01-11,275.765991,279.705994,272.319000,276.751007,272.344543,3004864
2018-01-12,282.660004,301.372986,282.167999,289.553986,284.943695,13423348
2018-01-15,298.417999,298.417999,279.705994,279.705994,275.252502,7566151
2018-01-16,278.721008,287.584991,277.735992,287.584991,283.006042,4021529
2018-01-17,285.614990,289.553986,282.660004,282.660004,278.159454,2776330
2018-01-18,287.584991,289.553986,281.674988,281.674988,277.190125,2345945
2018-01-19,282.660004,285.122986,275.765991,277.735992,273.313873,2804126
2018-01-22,277.243011,280.691010,269.856995,277.735992,273.313873,4017178
2018-01-23,282.660004,285.122986,271.826996,271.826996,267.498962,3927432
2018-01-24,270.842010,280.691010,268.872009,278.721008,274.283203,4675571
2018-01-25,278.721008,287.584991,272.812012,272.812012,268.468292,5613487
2018-01-26,274.781006,277.243011,269.856995,269.856995,265.560303,4051461
2018-01-29,273.303986,278.721008,270.842010,274.781006,270.405914,3611144
2018-01-30,274.289001,277.243011,271.334015,271.826996,267.498962,2413108
2018-01-31,273.303986,276.259003,271.334015,275.273987,270.891083,2158368
2018-02-01,277.735992,293.002014,276.751007,285.614990,281.067413,10241669
2018-02-02,289.553986,290.539001,280.197998,280.197998,275.736694,5295715
2018-02-05,268.380005,271.826996,267.394989,270.842010,266.529633,2797581
2018-02-06,260.993011,262.470001,243.757996,243.757996,239.876862,6841092
